Sector name,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,2024/2025,2025/2026,2026/2027,2027/2028,2028/2029
,98222016,26103000,23934778,21864000,19227000,79190905,61818220,425829051,1144638746.7,1995197891,2088755433.42,2363168120.54,3463660366.6,3613533077.9,3107519726.85,3197395522,3888112165.22,4363483477.76,3582946443.72,3513113715.88,1546675411.14,2525689373.2,1765505170,338204112,350441089,245796928,193049672,196180762
Action Relating to Debt,0,0,0,0,17231033,2981427,1558278,3961374,4855455,5830780,6452273.4,6280000,0,0,0,-65133,0,0,0,150042376,157624,0,0,0,0,0,0,0
Administrative Costs of Donors,0,0,0,0,0,0,0,0,0,0,91057219,87145295,94216190,111090188,162880162.83,199669398,271166721,312632167,165812019.34,136839332.4,6057834,115678138,82234606,53300000,53300000,53300000,53300000,106800000
"Agriculture, Forestry, Fishing",0,0,0,0,1420,49729,238759,5148557,15944070.61,22824365.48,40974478.79,167779721.69,131364080.88,211101262.05,255348533.32,238561987.9027,247655664.75,231080490.75,247149799.08721,159544294.55,170084739.84,129703339.73,69140826.09,25170234.5,23204071.65,2294445.5,0,446228.4
Banking & Financial Services,134631,235544,551003,1122719.1,774356.3,436829.3,7526118.09,13249031.25,10606552.65,25495157.86,44556817.31,60525139.48,129894631.95,87723319.35,442496687.6,341011668.91,393904264.56,672748793.84,781433293.205,577734011.57,753107017.66,165469880.92,122957015.8,109309907.8,7854720.3,530000,0,0
Business & Other Services,96278,-14,0,32926.25,269993,220938,2378366.2,2901437.3,5847550.8,14768405.45,11701452.62,21514513.92,40976944.68,47154704.35,63997706.26,77765905.845,68171208.49,113956211.66,118577455.29,43296649.04,52079998.69,39624566.85,24533994.96,6569200,6819825.5,3248927.2,0,0
Communications,0,0,0,0,0,0,0,0,3939231,2379456,2279164,1652088.42,899244.64,2047801.41,3037323.72,6054351.37,4180103.35,10810077.4,22464714.57,19531413.84,36779683.99,35960015.04,13424327,2204110.5,0,0,0,0
Development Food Assistance,0,0,0,0,0,0,0,363250.2,4369689.5,4110042.15,7158468.4,18448703.87,51530291.8,10003863.9,40688445.82,54603177.98,54911797,69129846.42,51600591.38,68543685.34,24628116.05,21524780.57,15934425.9,651112.82,0,0,0,0
Disaster Prevention & Preparedness,0,0,0,0,0,0,0,0,26000,39824.1,1898366.7,6567845.56,67359821.7,42062667.25,78903915.17,94032226.7,160340488.94,84786710.13,110274497.81,126919225.16,51517866.14,16713657.81,5447880.49,32138580.4,0,0,0,0
Education,0,0,0,0,0,4056489,4235366.5,8151370.69,29373725.24,51598682.8,197466874.08,363649371.3,669111739.39,666759937.91,582589175.16,743513988.43,620816797.89,565593294.23,636270199.42,506304338.54,346335871.92,206891101.12,104345439.38,70460545.73,76618503.02,11358260.6,1740000,2253176
Emergency Response,0,0,0,0,2e+06,0,0,0,5260000,7640000,17741130.1,97715337.04,468653920.41,872637729.74,1099576168.09,1190392161.34,1205850610.56,1216265285.05,1457185416.64,1148214420.24,440744027.03,178433863.14,21729958.18,45092740,1652563,0,220801,0
Energy,0,0,0,0,0,0,5223000,2049.48,4103365.7,9792503.15,7926896.85,38095287.94,77090684.29,97067098.63,83160560.896,84026316.001,81492861.86,143686721.06,167608926.190526,101600273.45,135169410.4,112165029.35,63595957.42,18908917.9,5832696.64,1200000,1200000,1503886.2
General Budget Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355032,0,0,0,0,0,0,0,0,0,0,0
General Environment Protection,0,0,0,0,760.4,609622.2,1200412.2,362242.95,3984026.54,18338025.9,39574626.4,97190158.03,173770713.4,207296860.83,238952059.92,241657527.27,245411555.3684,215430497.704,208133368.83895,176273698.99,171446624.72,141512833.6,78118139.87,41218779.4,26682176.21,6333746.56,34897.2,49842.9
Government & Civil Society,440268,126081,12596,759028,8380694,343501.6,7548353.8,13287550.71,92592107.7,137708059.93,224163577.65,396693176.64,593741731.4,615516219.55,690311526.23,933765939.708,750224153.201,1148793767.231,1285611272.881,1082085182.93393,548492445.1,367395021.29,197949069.44,86660383.12,37199666.42,8942832.86,5520000,6759528
Health,0,0,0,186633,68974.5,44259.6,11282610.95,31453135.36,57200140.09,102700420.37,297551129.66,440091335.25,742835628.65,686156054.03,579244476.99,707318067.03,730942042.47,664989275.01,734229012.85,1211836116.36,612205473.02,339592386.34,245211424.34,68472959.05,32817245.8,4725077,1921426.8,4838856.1
"Industry, Mining, Construction",0,0,0,37366.9,110711.7,126864.7,1123499.65,7132853.19,6826138.05,16426557.51,21932649.37,29570824.19,47892029.29,72234015.42,244441749.05,209024218.818,255179741.24,346340825.03,394376084.0664,330506070.136,420184960.36,166672453.09,109937728,22196133.8,11151313.7,2322000,2e+05,1144000.4
Other Multisector,0,0,0,0,12166.4,93368,1073910.4,12789492.92,30190638.3,68575997.12,222307816.65,268530552.22,367377775.57,397809475.28,455130102.36,544351040.79,390088363.7143,409079445.883,492819868.353106,424504719.202,297451753.9,229799361.09,188041607.65,31987866.65,17329585.16,2439862.46,488571,202611
Other Social Infrastructure & Services,0,0,0,0,2281.2,61191,6211041.15,7587670.64,38478708.9,79105744.24,76029992.37,115846062.43,252315783.63,160483995.05,261021471.17,356584138.75,200394640.3,207169444.89,202689519.8,276997682.87,141634921.4,136054106.61,73965434.87,22877069.59,25640721.51,3567138.76,1699582,501295.4
Population Policies/Programmes & Reproductive Health,0,0,0,179058.75,128095.5,532399.6,8195803.05,17070811.31,25742460.45,61524516.45,167200622.51,240091739.44,384865296.45,413119462.17,337237295.35,317004416.57,392017712.94,364952809.02,431499132.12,320644966.68,429215056.38,258316008.88,161602098.19,136253976.2,9374210.19,903196,0,512889.2
Reconstruction Relief & Rehabilitation,0,0,0,0,0,0,0,0,0,0,0,0,16824813.85,39855075.14,61510458.76,46201610.36,91298954.88,62905504.33,56306447.92,56781252.05,33651917.11,18443199.46,1688719.8,0,0,0,0,0
Refugees in Donor Countries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trade Policies & Regulations,0,0,0,0,0,0,3415.2,466688.81,16697717.3,20667089.45,7322009.66,24934718.26,45036383.35,39551922.84,64655755.65,79060371.12,83255731.159,77408192.04,119220430.35,70737650.29,93116087.76,79764353.1,39973056.4,23133555,11574833.6,8156000,0,0
