Sector name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
,0,1613855039.9,200657008,387929746,142220094.9,302129410,527409443.7,1643243172.6,1733536766.75,2604478497.84,2657581502.82,2456712362.84,3445453190.04,3864019456.08,3170490026.67,3150276906.38,3436846119.57,4167821453.61,3715638207.38,3373544695.81,196860966.74,0,0,0,0,0,0,0,0
Action Relating to Debt,0,38293262.6,4208866.4,889491.1,942990.4,20711038.25,11398290.15,8691665.75,14310686.2,50456444,22587192.8,17628540,7425779,35000,0,0,0,0,0,1.5e+08,0,0,0,0,0,0,0,0,0
Administrative Costs of Donors,0,0,0,0,0,0,0,48076,57135,237193,56797399.15,97680615,92334688,100723375,139485459.29,202146736.71,255673723.46,304258010.84,329509562.41,228677570.89,1252,0,0,0,0,0,0,0,0
"Agriculture, Forestry, Fishing",0,2071497.45,3841748.35,6168681.12,16009201.05,21124225.18,31540295.29,47721442.93,107771912.56,119783033.93,134148296.06,205393166.19,150195683.19,210892966.71,248947499.35,236650587.58,243301191.08794,213581705.53,232591903.18261,167891846.708,1641891.25,0,0,0,0,0,0,0,0
Banking & Financial Services,0,6674446.7,10239623.9,8787015.8,31751073.45,41711060.32,57685436.16,79986804.09,99033883.13,121377208.67,91988020.98,91109297.55,140233846.68,124311933.59,432985409.58,338563372.4,364531737.92,649824086.35,822814757.615,547760826.611,1683045.65,0,0,0,0,0,0,0,0
Business & Other Services,0,3829362.5,1496558.41,1340322.38,6574385.74,2070164.46,3861714.63,22678634.38,12187284.67,36615392.79,34692081.71,29664930.92,51462241.83,48780794.9,60292144.87,73887561.65,69882788.10043,114983944.71,97261315.49,41937848.13,2300752.64,0,0,0,0,0,0,0,0
Communications,0,3996794.62,1630412.27,2288441.8,5593930.82,8895227.46,7860259.59,11155875.93,22703854.17,16315346.82,17072309.59,4776774.6,3569555.08,2421349.19,2929833.17,6045939.85,4408500.7,11336042.29,7664019.45,24794120.22,853278.41,0,0,0,0,0,0,0,0
Development Food Assistance,0,0,556332,435750.57,16248062.37,21823184.48,14596335.39,50862533.41,15412757.06,52885735.96,61208687.35,37299803.47,61236133.44,17034347.72,40597235.25,63767238,48606955,43051103.2,66983206.55,59172186.87,7026.5,0,0,0,0,0,0,0,0
Disaster Prevention & Preparedness,0,1e+06,750000,1000181,700533,3525495.35,4169851.5,7822478.94,14909837.41,5252148.4,8421251.7,7017195.7,48005441.87,57898515.14,81358904.33,77874635.84,161982634.21,92326222.9,117192824.86,100676233.66,5714711.35,0,0,0,0,0,0,0,0
Education,0,9417901.24,3875796,30382103.08,67260601.81,109273809.72,224867786.49,307164677.36,440257606.17,501942939.88,626095548.88,568080682.65,797869954.3,718309303.53,542538155.05,739336367.49,652848693.33315,578885072.932192,653082617.24,468589521.52,35853301.41,0,0,0,0,0,0,0,0
Emergency Response,0,54770,155,91355,5689162,49755752,72131600.6,87842604.51,417018725.22,386722240.3,368100891.17,380587018.43,715763438.4,1010903850.67,1093047035.1,1161395588.92,1224559198.1,1157579337.52,1371131648.8,1113755947.07,5415078.8,0,0,0,0,0,0,0,0
Energy,0,3831535.7,1643976,1613123.4,4757827.8,31332976.99,14215989.4,26739481.3,41638981.43,28663455.41,25742068.19,37494645.58,65674603.51,86200999.93,96418758.09,77985082.74,81915772.59,138019299.3,111181416.909726,108152173.39,5900283.99,0,0,0,0,0,0,0,0
General Budget Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234837.31,218430.47,0,0,0,0,0,0,0,0,0,0,0
General Environment Protection,0,138556.6,546645.05,3604071.15,5829940.81,10667285.33,22644562.28,63448163.25,56931124.56,98106543.4,91111799.75,119416188.48,186078401.12,230961113,262495456.19,222797460.9,222791794.29,206738165.13,216030804.19895,151248303.56,5317778.59,0,0,0,0,0,0,0,0
Government & Civil Society,0,33725918.07,30253539.27,53395052.81,133159198.04,211042165.32,290614002.1,465057989.74,628117701.15,684002457.18,747109228.18,665589680.18,709563597.85,702816111.53,676969555.78,767240553.97,776442507.64522,1001466119.29,1201441750.38,831163890.56,27426988.63,0,0,0,0,0,0,0,0
Health,0,13059117.4,12239294.58,24229833.67,75053243.18,123891933.04,224016373.83,301486259.6,445761602.6,497087492.21,569726083.53,671310315.17,1090689361.69,513130514.78,606590991.51,652892390.98,703188987.21,631079458.11,668917837.69,1128708969.8,27251863.81,0,0,0,0,0,0,0,0
"Industry, Mining, Construction",0,54839808.08,5135920.09,6649294.36,14475041.35,20546433.96,26511441.3,44869932.26,46216918,69485966.46,68142954.11,57218755.72,52868761.62,70513310.81,235817376.32,206867225.02,236132834.03608,342261126.31,408639087.7014,303023488.6682,13538398.81,0,0,0,0,0,0,0,0
Other Multisector,0,902242.2,1414719.57,3619620.07,11320889.56,26959135.01,82131985.4,190153612.75,244430338.35,264871529.27,342992157.63,311788668.57,420737194.09,413721944.95,451092296.62,493572471.37,365973014.97,378907927.25,450256956.819806,343694806.7,9185642.8,0,0,0,0,0,0,0,0
Other Social Infrastructure & Services,0,2753964.95,1252074.13,2360540.79,30707719.84,40396396.52,53685384.5,118630114.22,204336961.32,285458939.76,212539235.98,204520551.46,293686970.39,183228708.56,272647335.04,351754597.1,193348466.09,187010705.35,205185026.95,234078821.45,5876974.48,0,0,0,0,0,0,0,0
Population Policies/Programmes & Reproductive Health,0,16750190.6,17156063.02,35025403.01,57390504.87,92760165.54,147260401.2,247184378.26,248718612.27,356862143.52,341189281.25,374148214.44,354311664.25,498375469.38,354693407.41,321200786.89,357478160.91,370943335.63,425026760.64,299246002.1,20287841.6,0,0,0,0,0,0,0,0
Reconstruction Relief & Rehabilitation,0,0,0,0,0,2873722.85,3530717.6,7582434.66,37301204.85,29920668.45,47289460.13,12329101.87,25020280.1,41162242.81,56899184.83,33744613.17,95131677.2,67516305.97,53555688.51,48919949.85,605080.73,0,0,0,0,0,0,0,0
Refugees in Donor Countries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34334,0,0,0,0,0,0,0,0,0,0,0,0,0
Trade Policies & Regulations,0,59877.4,1413400.2,3033499.54,4938287.32,10711095.01,10933082.29,17287754.21,38662533.66,71614371.26,37697995.01,37239818.16,58947957.02,48517314.46,70362376.38,77717458.64,78320299.27,73843992.68,92533147.06,71752926.73,630506.85,0,0,0,0,0,0,0,0
Transport & Storage,0,9116917,1762236.12,13689230.38,15165069.28,15373589.61,11594880.44,24327398.42,78359335.56,103150764.26,65961929.1,57362308.48,74394400.07,75370022.51,89647204.65,108112750.8,185311060.64,126295209.67,62979447.8,53451856.06,486522.74,0,0,0,0,0,0,0,0
Water Supply & Sanitation,0,8802535.15,5187495.7,8271298.7,24691634.25,35860483.49,42180276.47,57766438.52,97490437.98,107417405.91,135560870.53,124064995.85,185731064.58,209383315.8,195036963.2,179242798.16,174602017.24,210367150.97,182140288.18961,111880633.01,10870946.65,0,0,0,0,0,0,0,0
