Subsector name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Advanced technical and managerial training,0,0,0,0,0,0,0,0,0,1711238.4,2064782.819,0,0,0
Basic life skills for adults,0,0,0,0,0,0,0,0,0,4121403.63,3791287.2234,2907303.2479,3094358.7488,648637.548
Early childhood education,0,0,0,0,0,0,0,0,0,1826475.3786,1100884,0,0,0
Education facilities and training,0,0,0,0,0,0,0,0,0,7069887.79894,6748810.9124,4713469.7924,263540.9716,258295.339
Education policy and administrative management,0,0,0,0,0,0,0,0,0,9977557.1391,28531831.0954,11289953.7674,953621.4608,123266.1508
Educational research,0,0,0,0,0,0,0,0,0,777594.56,1492224.22,422468.65,0,0
Higher education,0,0,0,0,0,0,0,0,0,11777141.5713,15223151.898,6299751.887,6266875.798,505607.78
Primary education,0,0,0,0,0,0,0,0,0,57659394.5662,68200241.4478,44922660.991,44304537.0488,8068024.0844
School feeding,0,0,0,0,0,0,0,0,0,314485.56,0,0,0,0
Teacher training,0,0,0,0,0,0,0,0,0,4739311.0166,4675258.8996,1165823.2606,1263949.89,1256852.404
Upper Secondary Education (modified and includes data from 11322),0,0,0,0,0,0,0,0,0,1972396.308,2760621.3188,1314241.9314,1089489.86,74671.424
Vocational training,0,0,0,0,0,0,0,0,0,7143033.1182,32794026.4512477,11306892.4505238,3852120.145,332029.01
