Subsector name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Advanced technical and managerial training,0,0,0,0,0,93536.28,210855.72,731606.238,1455166.837,604165.778,0,0,0,0
Basic life skills for adults,0,0,0,0,843834.25,1197264.4,879313.2,2743517.1945,3759499.497034,1937635.3487,0,0,0,0
Early childhood education,0,0,0,0,0,0,587704.24,1015390.7859,1358969.2932,1101836.899,0,0,0,0
Education facilities and training,0,0,0,0,0,1403044.22,2358849.7,8528158.03,4841178.222,2725452.77584,0,0,0,0
Education policy and administrative management,0,0,0,0,0,3603653.53,10532018.426,8818649.299,24366079.5783,10665709.92959,0,0,0,0
Educational research,0,0,0,0,0,0,213978.89,949308.453,538116.26,666700.44,0,0,0,0
Higher education,0,0,6839418.9555,9320800.1465,11245256.4951,19546573.4452,20095011.4624742,17884598.75748,18416273.6681,7287235.7065,0,0,0,0
Primary education,21798150,21001318,23879648,25458360,32717755.5,56140475.03,68758943.625,76605686.5792,99382033.4345,77036399.53984,0,0,0,0
School feeding,0,0,0,0,0,0,0,0,6439365.17,192514.31,0,0,0,0
Teacher training,0,0,0,0,0,0,2949836.613,1069181.4164,3811442.6772,2427892.31824,0,0,0,0
Upper Secondary Education (modified and includes data from 11322),0,0,0,0,0,0,0,550858.641,1574398.883,1158735.7108,0,0,0,0
Vocational training,0,0,0,0,0,0,4705460.18,7523602.3786,10508464.73502,6206852.534,0,0,0,0
