Subsector name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Basic health care,0,0,0,0,0,0,0,0,0,3818704.9024,106661489.48,106661489.48,105241161.6,0,0,0,0,0,0,0
Basic health infrastructure,0,0,0,0,0,0,0,0,0,1042400.826,2395733.8,2395733.8,0,0,0,0,0,0,0,0
Basic nutrition,0,0,0,0,0,0,0,0,0,5291895.914,0,0,0,0,0,0,0,0,0,0
Control of harmful use of alcohol and drugs,0,0,0,0,0,0,0,0,0,70910.124,0,0,0,0,0,0,0,0,0,0
Health education,0,0,0,0,0,0,0,0,0,179085.03186,1185232.2404,722351.1784,358718.5118,367252.275,0,0,0,0,0,0
Health personnel development,0,0,0,0,0,0,0,0,0,125474.666,1711238.4,1711238.4,1711238.4,0,0,0,0,0,0,0
Health policy and administrative management,0,0,0,0,0,0,0,0,0,12529401.472,17795021.16,4776948.44,2044559.396,0,0,0,0,0,0,0
Infectious disease control,0,0,0,0,0,0,0,0,0,0,116877579.5,54759628,54759628,54759628,54759628,34224768,34224768,34224768,34224768,34224768
Malaria control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medical education/training,0,0,0,0,0,0,0,0,0,242235.7246,588773.62,593805.354,577159.448,277211.55,0,0,0,0,0,0
Medical research,0,0,0,0,0,0,0,0,0,1453712.966,1404332.14,1206047.744,0,0,0,0,0,0,0,0
Medical services,0,0,0,0,0,0,0,0,0,2764535.573,3343530.8917,3040186.0353,1722087.4313,1161819.7706,0,0,0,0,0,0
"NCDs control, general",0,0,0,0,0,0,0,0,0,855619.2,0,0,0,0,0,0,0,0,0,0
Other prevention and treatment of NCDs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Promotion of mental health and well-being,0,0,0,0,0,0,0,0,0,266662.445,177906.328,167049.38,160641.64,151053.06,0,0,0,0,0,0
Research for prevention and control of NCDs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuberculosis control,0,0,0,0,0,0,0,0,0,1041346.5752,0,0,0,0,0,0,0,0,0,0
