Sector name,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270144455.8041,868920274.9414,688737749.094,253885302.072,44031018.104,29433299.4,16770136,16770136,0,0,0
Action Relating to Debt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51641708.8,58438475.8,0,0,0,0,0,0,0,0
Administrative Costs of Donors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agriculture, Forestry, Fishing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76829785.37825,134377157.6455,65357592.258,31576318.678,7135025.04,0,0,0,0,0,0
Banking & Financial Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8064968.11386,9260092.99,6241948.71,4624373.24,859153.74,0,0,0,0,0,0
Business & Other Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10990997.9702,10529090.578,7394221.6,6331582,2464183.15,0,0,0,0,0,0
Communications,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3741425.904,5972133.36,1092507.44,0,0,0,0,0,0,0,0
Disaster Prevention & Preparedness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3907957.17,4278096,855619.2,0,0,0,0,0,0,0,0
Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109089919.04694,167383120.285648,84342565.9782238,61088493.923,11267383.7402,0,0,0,0,0,0
Emergency Response,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127846348.33492,4569006.41,342247.66,0,0,0,0,0,0,0,0
Energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77948234.6589,137022448.1964,73946032.338,42233565.16,24986133.4,8821842,0,0,0,0,0
General Budget Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Environment Protection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193170009.2982,247685068.963862,90373059.3126238,28902305.6225,23529527.6,23101718,0,0,0,0,0
Government & Civil Society,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291455478.664177,424829652.685508,223651376.758921,108187914.987,56915856.7444,0,0,0,0,0,0
Health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29681985.42006,252140837.5601,176034477.8117,166575194.4271,56716964.6556,54759628,34224768,34224768,34224768,34224768,34224768
"Industry, Mining, Construction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18285518.28066,30907171.9078,19299346.24,12343210.78,1711238.4,0,0,0,0,0,0
Other Multisector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78664834.2197103,72443722.017,57475186.394,48203292.998,12245602.646,3251353,3251353,3251353,0,0,0
Other Social Infrastructure & Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47941353.8189,53887241.9216,26787371.373,6129787.402,1236792.9692,0,0,0,0,0,0
Population Policies/Programmes & Reproductive Health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19254293.6702,30722942.2173,4156844.7403,2955478.3923,0,0,0,0,0,0,0
Reconstruction Relief & Rehabilitation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3439589.182,1640810.68,0,0,0,0,0,0,0,0,0
Refugees in Donor Countries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trade Policies & Regulations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5012216.99,4353818.2,3422476.8,2224609.8,1095192.5,0,0,0,0,0,0
Transport & Storage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Supply & Sanitation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15855435.9504,9102466.69,941820.44,0,0,0,0,0,0,0,0
