Subsector name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Advanced technical and managerial training,0,0,0,0,0,0,0,0,409485.8239,720342.6225,5819580.8843,9835575.7832,7587544.1763,9501087.4563,14941948.3139,11217779.9766,10193931.887716,40114218.5509,3942156.605876,15193335.2855,24495780.94917,34149430.67367,38594462.703,0,0,0,0,0,0,0,0,0
Basic life skills for adults,0,0,0,0,0,0,0,212464.086,230805.92539,315789.7364,301282.13945,129098.8269,254127.0881,316275.9383,383300.9877,263103.9192,83871.465,-11051.33009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basic life skills for youth,0,0,0,0,0,0,0,0,0,7580.0996,853418.2833,12378277.167,10877995.1782,29642651.86,36989428.988,48795635.4648,39124293.6525,38104368.64109,34691570.6762,31475113.77345,33718629.27738,27920202.166,15811142.4556,678164.229,0,0,0,0,0,0,0,0
Early childhood education,0,0,0,0,1172717.618,1682735.608,3247855.472,3562858.055,3420918.746,6376136.2484,14737046.0265,15225486.5047,31104927.2446,29459697.6412,41964931.61,40838913.4535,38924021.99015,75373823.3258,65591042.6305,99058826.5053,104149814.58076,116378575.6365,173337935.48726,2199450.7312,0,0,0,0,0,0,0,0
Education facilities and training,0,0,0,0,0,0,3901.5579,449555.06814,1763899.90904,8647856.4855,22411957.9553,15983838.0641,35091001.7965,26094435.6002,42478183.78753,59312443.92418,100170746.4284,67636053.9326,105752065.7706,137191944.91356,107556038.8705,190202327.11512,144085807.64254,5852724.48232,0,0,0,0,0,0,0,0
Education policy and administrative management,0,0,0,0,522783.529,748190.5125,1444728.882,1755423.66998717,1996602.838,2691532.1543,18233277.943,20584259.87532,65160961.76156,73138269.65773,277803419.3958,244736079.32596,333080723.51754,187514636.627817,288835215.25458,404250400.614505,279423340.634117,305865803.574362,321272758.22853,18117550.4404,0,0,0,0,0,0,0,0
Educational research,0,0,0,0,0,0,0,0,0,0,133586.38,176020.166,6615931.25,9502450.746,47626426.486,5361872.2076,2095496.776,2648379.63976,3163411.5048,1507640.6974,3186478.276334,4206484.86564906,9912770.75623,210641.52046,0,0,0,0,0,0,0,0
Higher education,111972.1,60111.5867,32039.8858,53395.237,285616.6663,210848.6692,180410.6133,2082304.3467,3366571.37923,12510817.79938,38762841.8871,50464188.82821,84361108.8019,80392397.27802,159739269.87115,108964634.68682,149063611.818656,169741004.84957,235692478.32256,304397914.8922,224170316.23325,287100845.01458,263078877.774587,57727704.46228,0,0,0,0,0,0,0,0
Lower secondary education,354578.34,190353.3568,101459.6383,939756.2,4688617.413,2175771.191,2901376.296,2549472.093,3549948.58,8251743.0019,61406842.5231,74939793.3016,175922283.5863,100506402.8178,212347094.7356,288397234.4397,401723333.6754,200183099.418436,274388591.63035,185594382.31224,257414122.476463,253298390.724169,250420339.03554,24295252.18004,0,0,0,0,0,0,0,0
Primary education,363909.34,195362.6635,104129.629,0,2106243.734,3276075.687,6847057.2487,13717444.9310043,16415297.4234,37554041.91865,95547858.7432,155794321.8752,132395494.2119,153294465.155896,246633651.6446,284728549.83508,320123625.327166,422565268.997801,420664404.25039,646311128.2772,461784631.73029,266561886.110786,313990986.243797,4478300.398,0,0,0,0,0,0,0,0
Teacher training,0,0,0,0,0,0,0,0,0,0,322948.7,228377.479,12095895.317,14889923.5727,65466730.96,36370904.8323,35573311.5184,35516684.2829,209491034.4449,100006290.962,148251276.0501,174701222.01999,184772623.3271,18102309.9872,0,0,0,0,0,0,0,0
Upper Secondary Education (modified and includes data from 11322),0,0,0,0,0,0,0,956088.366,1038626.6649,3986792.2023,6756764.6368,3668275.5805,5997522.496,5506338.908,5877623.104,3639215.20774,2107721.5028,0,0,0,0,0,31439513.7965,126505.375,0,0,0,0,0,0,0,0
Upper secondary education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37290300,0,0,0,0,0,0,0,0,0
Vocational training,0,0,0,0,0,0,0,0,441973.2519,1937026.4234,43209371.9173,30543856.92957,39408930.97133,48976142.866606,95235796.48958,132352800.3173,163562174.261216,178942712.93675,116850068.35914,169338368.220266,148643712.608895,166806757.657158,238414896.934024,17624336.811,0,0,0,0,0,0,0,0
