Subsector name,1991,1992,1993,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Basic health care,0,0,0,0,0,78328.1,1167214.2058,4091873.2008,6100714.8022,107200522.5594,277679202.2863,371356634.75156,180456348.717675,172246257.43632,289879086.77325,179439944.079461,198252746.753469,388047385.17185,318058343.59767,328087748.247659,410502448.045035,459142683.201745,31148345.75811,0,0,0,0,0,0
Basic health infrastructure,0,0,0,0,0,0,861314.2405,260465.6051,2253240.565,4578431.424,8470422.719,11353085.8392,31420813.31164,24999068.7722,60585511.8121,36326412.6219,41567901.2087,40482468.2413,88929671.4017,77877588.7532,73819419.80369,280797009.11387,6424076.8453435,0,0,0,0,0,0
Basic nutrition,0,24905.304,-25896.633,0,0,0,0,115868.016,822113.4305,8181193.85974,7378493.965845,10484175.609,13811687.0396,12170528.45956,36709239.259794,42350764.7168,72195508.909572,124963055.140486,185896885.592864,184567446.708645,190710462.197595,236501673.328117,8657673.0676,0,0,0,0,0,0
Health education,0,0,0,0,123992.7646,246024.2277,562851.922,441320.4032,1027216.7301,1780176.16166,1743562.69125,2081879.4541,4127825.581,6557806.62472,8304103.15146,8501324.66075,9334594.55992,12503932.6997744,22900878.4421807,24459616.39896,29239919.331896,71227667.84075,1471769.752,0,0,0,0,0,0
Health personnel development,0,0,0,0,0,0,0,0,0,0,0,0,250176.85,19346422.66,724446.18,1240673.75,1520023.354,3591024.9894,12702326.6184,13700018.00495,23924250.4899,73209323.26948,1542607.032,0,0,0,0,0,0
Health policy and administrative management,1536930.54,68218.875,-70934.26,0,0,38579.51,2100018.679,5483828.49888,48675429.63692,66394191.163096,168471666.6983,505889342.458346,572814792.03177,526550622.342041,313006617.322331,268213457.01132,247646139.85443,355740676.568655,385723861.86525,442227041.897559,477547331.430458,1161132362.25958,30163200.2836,0,0,0,0,0,0
Infectious disease control,0,15159.7497,6690095.832,0,0,0,85307.424,461624.9357,14653643.01001,18493808.48514,47638398.5418,146897945.1414,91790829.59471,67613900.332727,114473772.412624,97501018.690794,282138448.49025,79776898.3746,153815001.952193,97664250.3153973,209477436.08224,660822875.56493,4130600.3957244,0,0,0,0,0,0
Malaria control,0,0,0,0,0,0,36506.37324,1273584.4639,16894064.61148,20959026.06808,54844625.7968,42731248.7424,64515158.9575354,49208206.00856,53658427.792448,49832567.6732716,11258004.02564,30736065.315942,64910929.99435,63733012.95476,41311786.2717,16837509.656269,5978244.754,0,0,0,0,0,0
Medical education/training,0,0,0,0,0,0,0,0,0,9150.213,64588.566,990806.25991,3711458.6604,4369465.6346,6430736.963,7436107.2406,7294138.5882,9337306.76626,3902342.07438,8527367.70405,6679964.697,12594393.5685,2435150.485,0,0,0,0,0,0
Medical research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2513832.246,11631.09,0,0,0,0,0,0
Medical services,0,0,0,0,0,0,215328.56013,449137.53053,4424493.472,3683747.002,9491986.3959,8514790.3001,12869980.324,23482268.7706,69757917.70974,31814147.1944,10612135.59198,48831431.88103,97728500.0951631,208223060.266747,224104146.0394,673343204.39114,11038951.6216435,0,0,0,0,0,0
Tuberculosis control,0,0,0,0,0,0,0,2182738.5,5499702.4,4546069.0527,9169751.64,9911863.968,32577575.28,14411789.776,27125268.07743,10356535.743274,13620859.789,27666947.2089,29619206.76733,22864645.9882,26519276.6766251,48466918.20445,215276.354,0,0,0,0,0,0
