Sector name,1991,1992,1993,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
,0,0,0,0,0,0,0,0,0,0,0,0,0,432355.302,307867.062,365344.131,1610329.5645,12829543.7119,29695835.6546,53267301.883,124285683.016,266595275.386,300020564.553,316890032.319,406457695.944,1111517564.391,2351305714.933,2036210360.794,1067434943.8888,810372147.404,612995751.408,378716662.132,20639867.69,0,0
Action Relating to Debt,0,0,0,0,0,0,0,0,0,0,0,0,18239437.62,28291652.4,9642396.6,5392545.18,928988.88,0,0,27299.988,80528.9354,156341.5598,254929.1064,555996.6156,549906.512,502375.082,875180.986,1251649.606,0,0,0,0,0,0,0
"Agriculture, Forestry, Fishing",0,0,0,0,0,0,6279681.061,27686563.55502,38431876.7674,63506934.94797,166171538.75821,271090457.470709,426955855.652403,1321708672.79532,1376415152.30288,1483870779.74952,1639967594.19709,1772240254.17713,1909676807.0266,2092617525.86264,2403538869.7385,3192367279.7263,3087289347.39958,4138003985.05546,4225523341.5192,4116786761.06082,3894843141.86461,3312701297.5712,2317139839.1672,1333869120.6363,841507834.7356,342358163.9995,56000527.7502,619753.902,0
Banking & Financial Services,0,0,0,0,0,0,0,46130.7896,18117385.284,21277359.2302,28311011.03078,55168839.91564,96933696.03552,160928437.35412,158849543.40642,200061005.137366,391557221.72818,423645825.8659,366447167.629284,449911611.390603,384174787.838597,871835396.292089,989662319.294642,1053206014.93687,933819638.961661,1020305362.1049,1010704486.6124,629006414.0594,465797042.4655,346869618.8088,149544714.4718,97623.688,0,0,0
Business & Other Services,0,0,0,0,0,0,0,0,10310941.2,27597449.4,38872686.302,29144306.772,30234888.3774,98707243.438,161869333.8187,137420691.45949,197111927.191521,247216402.685667,196543675.107096,150548114.006749,145638221.490887,208780275.155354,174047233.566742,260187912.51345,418801988.08688,540613951.9899,589142963.77686,523479482.5561,469542678.3496,326443746.077,251942756.966,89977902.4,0,0,0
Communications,0,0,0,0,0,0,0,0,1243522.257,6914869.8488,18408112.321,26464346.7104,29446995.48616,44122299.4468,64305612.2686,95768078.3286747,184492760.578054,188470878.102044,191990535.551617,214857899.940455,204849113.328316,239378217.954314,340742413.347211,418756129.65618,553083202.265581,862762948.293921,943226588.304407,916946122.87754,769593975.2145,550572872.0215,304613176.9547,75767146.1992,1681369.678,0,0
Development Food Assistance,0,0,0,0,0,0,0,0,0,0,0,0,0,3056350.57,46320259.528,107129479.745,95119104.59,64746735.724,61878175.992,45822607.0655,22239760.198,35449577.49,36799092.38,50741870.11,59982536.9504,30226439.4066,27187649.979,24061455.432,18734087.636,13771758.206,7696354.88,885263.834,0,0,0
Disaster Prevention & Preparedness,0,0,0,0,0,0,0,5329869.446,6769250.6611,10085229.3878,16981661.13465,40563637.69608,62291192.2419,111608948.26434,132933959.70014,217360657.3277,291548287.1843,334300548.0743,402673187.13894,582898968.7501,862486084.0381,1308002455.02743,1505490365.3384,1677673979.20047,1686817981.22236,1692351000.18445,1495829345.78131,1394965973.24774,946331710.14531,600526821.48908,156337651.58069,47053094.348,5861853.712,0,0
Education,0,0,0,1609367.64,7393418.08398,9890269.8951,13265346.8349,33280835.0104,27761091.9055,40236788.7957,64729416.10498,133895616.97749,268353637.84442,827790174.73472,1058012410.44362,1260081593.07842,1434015213.34907,1713091713.56142,1806296091.51389,2077516780.4992,2801696296.24181,3155272864.2599,3569156740.86294,3494038990.47519,3984861580.26398,4685347376.03163,4610462285.37723,3712860410.43758,2439878742.60951,1239999551.0506,538683745.398925,160129513.4317,12296152.0032,0,0
Emergency Response,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2835028.752,7899117.9102,11057584.8578,9562815.9234,47126698.3804,41694040.7982,7865670.0942,20345882.44476,69053879.55664,111914769.15938,116530785.14247,148787159.4894,159099922.7959,123831029.803,112608620.267,96717159.208,38406425.87,447954.49,0,0,0
Energy,0,0,0,0,991836.019,3485835.434,5418636.8804,23412377.113,111056459.5557,240507797.74055,345057516.3856,292974288.88888,433404197.81241,1076059006.57748,1516343018.24506,2880722909.76624,3504539222.70205,3432918580.35132,3495113161.48149,4269862852.35962,4488899180.4502,5629752826.95571,4757462511.64986,4407437315.28633,4630126822.22507,5032108018.2085,5092998200.68685,4192436853.778,3117514413.59553,1871119599.576,775080903.2458,147517137.819,14964009.156,13649981.528,6204968.08
General Budget Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490804.64,7618567.668,11253610.49,29391973.22,33767336.06,23771730.74,11947466.24,10547545.38,6348975.24,0,0,0,0,0,0,0,0,0,0,0
General Environment Protection,0,0,0,0,0,0,4649045.64,6934995.72,4875845.762,4314813.7222,5928067.879,3507491.1184,8519933.56052,50620591.89172,94896592.35432,156013601.997172,213939549.41392,263595113.8529,292193368.78507,313812386.56576,344287608.79081,363430216.03618,396028145.935806,466397829.14852,494744151.816935,534769705.08251,562802888.85961,457453002.8805,341037521.6634,223517752.9158,158476795.5372,87477336.5536,1839478,0,0
