Sector name,1991,1992,1993,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
,0,0,0,0,0,0,0,0,0,0,0,0,0,297793.38,0,12680.688,75690.5925,168072.438,221944.25,10916383.0991,8611462.32,2478891.3653,10552634.238554,17409398.7205,10548774.97618,2238502.418,37283.996,0,0,0,0,0,0,0,0
Action Relating to Debt,0,0,0,0,0,0,0,0,0,0,0,0,3923574.24,9013458.184,5313955.84,5241517.826,6621210.528,4013884.325,1958258.83755,0,1301.3726,262759.28,-7052.3057,0,2326413.01,209681.86,200383.53,0,0,0,0,0,0,0,0
"Agriculture, Forestry, Fishing",0,1773518.2,0,0,0,0,2749149.928,7878136.2995,9546908.331,23304342.95631,71575486.87454,95564818.54926,125793211.581667,307462216.71193,559775459.10527,636174563.077874,716890863.301462,926163163.445777,1287877184.39566,1224779499.17189,1325111026.88409,1725667524.32189,1745878785.65807,2168816487.6267,2311703544.77915,2434473865.77238,129299903.4925,0,0,0,0,0,0,0,0
Banking & Financial Services,0,0,0,0,0,0,0,0,1063065.1,2517609.02592,23313080.39344,20080742.50271,23437272.38957,62299613.45006,93461941.35965,99850102.17362,242871036.755488,329930225.52624,785480120.98621,1480048678.97596,1309109269.51684,1063328175.62145,1359137354.06732,892242690.154425,1608067953.0052,1851739154.40744,82594729.0772,0,0,0,0,0,0,0,0
Business & Other Services,1824973.2,3549894.91167,1132.9817,0,0,0,0,0,9344290.5,4100942.428,14723233.3467,15594204.0915,8797723.9317,54948327.5905,98488812.1729,59094901.52036,83886913.71308,263631808.72756,732235032.2123,805667814.318825,1201011543.62215,752793938.9027,810314418.962279,1028873077.03068,1104003046.77219,687884024.939725,8459824.199,0,0,0,0,0,0,0,0
Communications,0,92425.205,36633.075,0,0,0,0,0,0,1780269.5168,6325168.0174,5968361.0094,6899004.4961,17335380.5756,26979738.6122,27021954.2979,73221790.15766,151892714.4127,143674877.241604,133585784.84558,169043089.440359,103890318.46069,261211300.66351,329562436.08855,678008581.322587,772647207.759344,20725086.64128,0,0,0,0,0,0,0,0
Development Food Assistance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10961451.6975,81369840.5634,48402328.7964,43922422.3137,85632154.92,82073466.15183,8810410.7509,12528911.2978,34921727.015,38292444.498,7879028.2833,6729651.658501,486700.868,0,0,0,0,0,0,0,0
Disaster Prevention & Preparedness,0,0,0,0,0,0,0,2408205.0986,1310260.6,3323602.786,5100299.26114,13185219.14962,8141919.21044,25179513.6046,66239047.435304,78018736.9082,127926108.238651,212219384.117132,275691770.91223,348543098.205642,538390688.96144,653120173.60903,622083528.58567,714870058.048827,1121123682.7236,1402128383.0141,28795737.66719,0,0,0,0,0,0,0,0
Education,0,0,0,830459.78,445827.607,237629.1531,993151.437,8775978.9603,8093621.6677,14625330.0699,25285610.6158314,32634130.54176,82999658.69233,308496778.01935,389951370.3813,606873723.87969,581220539.498752,1247487806.37386,1264979167.59078,1595826863.82094,1418329199.87333,1759062039.4499,2094325346.45362,1792794141.68726,1827191925.55798,2022422414.38471,149412940.6169,0,0,0,0,0,0,0,0
Emergency Response,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479922.6,4032503.885,3776375.0977,4470316.6205,22007461.7594,21982441.417,7827599.92978,11426727.34936,55944889.9746,75305872.55923,73932511.96533,124410336.5005,8290177.94,0,0,0,0,0,0,0,0
Energy,1824973.2,0,0,0,185969.255,409297.8042,492036.2615,0,12431006.5448,52995325.7613,53453229.11703,63799392.5729,133927546.96624,481883199.00056,797937674.764839,1066862608.47802,1238962502.18398,1990106638.82176,1771970230.31903,2834591103.4894,2754583819.15127,3751340968.75107,2958892111.66866,3093628143.21746,3750373286.47561,2418180028.1026,106858030.95526,0,0,0,0,0,0,0,0
General Budget Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2979172.8,19431235.82,232986860.6,114548111.842,8580724.9,11969472.5,13090770.668,1643817.9,1366533.6,166885.66,0,0,0,0,0,0,0,0,0
General Environment Protection,0,0,0,0,0,0,419373.05,2275015.26,2759749.809,1907091.169,2531443.56214,1928182.7124,2966341.9996,10510134.61528,27515578.01176,43665917.64841,60313710.011857,222834609.659246,124150313.064106,152964530.480205,260530333.764672,235330126.81379,191676434.748561,300831159.994627,218836728.38698,256350169.227337,32931606.93108,0,0,0,0,0,0,0,0
Government & Civil Society,4898834.28,1773518.2,0,102641.093,55102.28772,29369.89511,53395.237,1064703.3246,2455095.276,12543364.38261,32397667.93647,61912356.367045,122884169.04635,281899558.40827,377624481.996418,469414923.939467,582617420.325376,2011492284.42611,2698283216.10484,2400973405.22053,2798777549.54323,3377687435.30457,2400696611.94905,2481123797.17757,3875039033.61975,3726353494.04258,104385163.932743,0,0,0,0,0,0,0,0
Health,1536930.54,108283.9287,6593264.939,0,0,0,0,0,123992.7646,362931.8377,5028541.40467,14760441.15411,100350618.65821,235826315.988816,584952699.301195,1110211772.52402,1008346646.34833,920956336.817328,980655127.454177,733012953.382571,895440501.125161,1121677192.3582,1364187948.40148,1471931797.24013,1713836441.06554,3696589452.64483,103217527.439021,0,0,0,0,0,0,0,0
"Industry, Mining, Construction",0,0,0,0,0,0,0,0,199957.3,1290645.1256,71704927.20034,26698636.99068,49063544.290542,126698741.83971,251198805.72651,263581429.4187,473351831.34393,500455293.474144,556742896.540898,458130980.445782,861810828.9802,862717474.989936,1003131457.05563,990010195.31773,564021018.516706,1022291323.75828,31577956.367339,0,0,0,0,0,0,0,0
Other Multisector,0,0,0,0,0,0,0,65086.62455,5263945.7495,8200351.7004,41026046.21256,59156999.5017,36070487.7098,181041800.15936,303505349.5585,355582247.1967,464459762.932145,629020940.30078,780764160.96761,874316668.272771,838700856.490215,1364111794.03227,879677799.273459,1028223413.85979,1194861507.76874,1191021341.38559,33199506.5489668,0,0,0,0,0,0,0,0
Other Social Infrastructure & Services,0,0,0,0,0,0,996702.637,6506600.787,4609976.006,5183606.2715,25876968.77217,58796553.993852,70803829.18276,455485205.08621,1428709028.0818,798690945.752168,601577435.19243,1069842090.79325,2170567108.11588,1490103685.0389,1606472643.49671,1847807064.59671,1793775300.98293,2354908812.49755,2461169061.27654,5013670931.30756,93061414.74337,0,0,0,0,0,0,0,0
Population Policies/Programmes & Reproductive Health,0,0,0,0,0,0,0,722023.939,2311485.189,3434836.999,11829713.05414,8467680.0662,37981016.53322,66835032.359136,53231867.6165,85410541.9154,175156926.865335,155117864.35691,178694607.297968,193911883.74884,156366659.59753,157666367.596736,188423076.97407,201442481.868683,182933360.698571,242327937.723699,16178795.397,0,0,0,0,0,0,0,0
